auth,info,iran,time,type
ea387b4eb4,1,0.5235937233822944,1,QI
a7e9d57340,1,0.30292832086175747,1,QI
4769251e6c,1,0.31587376871548806,1,QI
4ef949bbb0,1,0.16017304017446907,1,QI
5bc4cd442a,1,0.02711739990172717,1,QI
0bfd68f777,0,0,1,C
193fcb2b7c,1,0.9771727615720854,1,QI
a002372d05,0,0,1,C
a8032102f6,1,0.44420359929681713,1,QI
0e62aeddbe,0,0,1,C
a7e9d57340,1,0.3025763727931398,2,QI
4769251e6c,1,0.8106181011588658,2,AI
4769251e6c,1,0.8108912339746196,2,AI
4ef949bbb0,1,0.86695312451368,2,AI
4ef949bbb0,1,0.8660930678889612,2,AI
0bfd68f777,0,0,2,C
a002372d05,0,0,2,C
0e62aeddbe,0,0,2,C
2338fb4966,1,0.9057439809649243,2,QI
98e9269298,1,0.051663001195625564,2,AI
bb47b103c2,1,0.8307491281202165,2,QI
ce2602bee1,1,0.9139895542206915,2,AI
cc47613d81,0,0,2,C
4cecf4cb7a,1,0.23444936667289767,2,QI
966c4aa536,1,0.34480616689023974,2,AI
966c4aa536,1,0.34505222070307534,2,AI
966c4aa536,1,0.6108535108666291,2,QI
auth,info,iran,time,type
ea387b4eb4,1,0.5235937233822944,1,QI
a7e9d57340,1,0.30292832086175747,1,QI
4769251e6c,1,0.31587376871548806,1,QI
4ef949bbb0,1,0.16017304017446907,1,QI
5bc4cd442a,1,0.02711739990172717,1,QI
0bfd68f777,0,0,1,C
193fcb2b7c,1,0.9771727615720854,1,QI
a002372d05,0,0,1,C
a8032102f6,1,0.44420359929681713,1,QI
0e62aeddbe,0,0,1,C
a7e9d57340,1,0.3025763727931398,2,QI
4769251e6c,1,0.8106181011588658,2,AI
4769251e6c,1,0.8108912339746196,2,AI
4ef949bbb0,1,0.86695312451368,2,AI
4ef949bbb0,1,0.8660930678889612,2,AI
0bfd68f777,0,0,2,C
a002372d05,0,0,2,C
0e62aeddbe,0,0,2,C
2338fb4966,1,0.9057439809649243,2,QI
98e9269298,1,0.051663001195625564,2,AI
bb47b103c2,1,0.8307491281202165,2,QI
ce2602bee1,1,0.9139895542206915,2,AI
cc47613d81,0,0,2,C
4cecf4cb7a,1,0.23444936667289767,2,QI
966c4aa536,1,0.34480616689023974,2,AI
966c4aa536,1,0.34505222070307534,2,AI
966c4aa536,1,0.6108535108666291,2,QI
ea387b4eb4,1,0.5158381184685809,3,AI
ea387b4eb4,1,0.5166428163577336,3,AI
a7e9d57340,1,0.3025763727931398,2,QI
a7e9d57340,1,0.30256760943280325,3,QI
4769251e6c,1,0.8106181011588658,2,AI
4769251e6c,1,0.8108912339746196,2,AI
4769251e6c,1,0.8112252948376366,3,AI
4769251e6c,1,0.8109715685056924,3,AI
4ef949bbb0,1,0.86695312451368,2,AI
4ef949bbb0,1,0.8660930678889612,2,AI
4ef949bbb0,1,0.8653273467118506,3,AI
4ef949bbb0,1,0.8666684718343454,3,AI
4ef949bbb0,1,0.8658404209757623,3,AI
4ef949bbb0,1,0.865879615497558,3,AI
4ef949bbb0,1,0.8670508354874803,3,AI
4ef949bbb0,1,0.8661202647215765,3,AI
4ef949bbb0,1,0.8674249938499012,3,AI
4ef949bbb0,1,0.8662231817649676,3,AI
4ef949bbb0,1,0.15966328456291812,3,QI
5bc4cd442a,1,0.027375626788644022,3,QI
0bfd68f777,0,0,2,C
0bfd68f777,0,0,3,C
0bfd68f777,0,0,3,C
a002372d05,0,0,2,C
a002372d05,0,0,3,C
0e62aeddbe,0,0,2,C
0e62aeddbe,0,0,3,C
ce2602bee1,1,0.9139895542206915,2,AI
facd963a91,0,0,3,C
42ecf45f58,0,0,3,C
966c4aa536,1,0.34480616689023974,2,AI
966c4aa536,1,0.34505222070307534,2,AI
966c4aa536,1,0.6108535108666291,2,QI
966c4aa536,1,0.3435325770567563,3,AI
966c4aa536,1,0.3446965452828446,3,AI
966c4aa536,1,0.34459002488948093,3,AI
966c4aa536,1,0.34425471246690914,3,AI
966c4aa536,1,0.34454675150110314,3,AI
966c4aa536,1,0.34496985612885106,3,AI
966c4aa536,1,0.6117042096278043,3,QI
74208ba07d,1,0.8339186298196798,3,AI
74208ba07d,1,0.833960965887456,3,AI
74208ba07d,1,0.8335012130948672,3,AI
40a12adab7,1,0.6242962457339132,3,QI
9d15857bfe,1,0.6045896596723515,3,AI
9d15857bfe,1,0.6048658847067978,3,AI
9d15857bfe,1,0.6047759604950755,3,AI
9d15857bfe,1,0.6046622957752721,3,AI
9d15857bfe,1,0.604860172714678,3,AI
9d15857bfe,1,0.6056625545924691,3,AI
9d15857bfe,1,0.8454196697995658,3,QI
auth,info,iran,time,type
ea387b4eb4,1,0.5235937233822944,1,QI
a7e9d57340,1,0.30292832086175747,1,QI
4769251e6c,1,0.31587376871548806,1,QI
4ef949bbb0,1,0.16017304017446907,1,QI
5bc4cd442a,1,0.02711739990172717,1,QI
0bfd68f777,0,0,1,C
193fcb2b7c,1,0.9771727615720854,1,QI
a002372d05,0,0,1,C
a8032102f6,1,0.44420359929681713,1,QI
0e62aeddbe,0,0,1,C
a7e9d57340,1,0.3025763727931398,2,QI
4769251e6c,1,0.8106181011588658,2,AI
4769251e6c,1,0.8108912339746196,2,AI
4ef949bbb0,1,0.86695312451368,2,AI
4ef949bbb0,1,0.8660930678889612,2,AI
0bfd68f777,0,0,2,C
a002372d05,0,0,2,C
0e62aeddbe,0,0,2,C
2338fb4966,1,0.9057439809649243,2,QI
98e9269298,1,0.051663001195625564,2,AI
bb47b103c2,1,0.8307491281202165,2,QI
ce2602bee1,1,0.9139895542206915,2,AI
cc47613d81,0,0,2,C
4cecf4cb7a,1,0.23444936667289767,2,QI
966c4aa536,1,0.34480616689023974,2,AI
966c4aa536,1,0.34505222070307534,2,AI
966c4aa536,1,0.6108535108666291,2,QI
ea387b4eb4,1,0.5158381184685809,3,AI
ea387b4eb4,1,0.5166428163577336,3,AI
a7e9d57340,1,0.3025763727931398,2,QI
a7e9d57340,1,0.30256760943280325,3,QI
4769251e6c,1,0.8106181011588658,2,AI
4769251e6c,1,0.8108912339746196,2,AI
4769251e6c,1,0.8112252948376366,3,AI
4769251e6c,1,0.8109715685056924,3,AI
4ef949bbb0,1,0.86695312451368,2,AI
4ef949bbb0,1,0.8660930678889612,2,AI
4ef949bbb0,1,0.8653273467118506,3,AI
4ef949bbb0,1,0.8666684718343454,3,AI
4ef949bbb0,1,0.8658404209757623,3,AI
4ef949bbb0,1,0.865879615497558,3,AI
4ef949bbb0,1,0.8670508354874803,3,AI
4ef949bbb0,1,0.8661202647215765,3,AI
4ef949bbb0,1,0.8674249938499012,3,AI
4ef949bbb0,1,0.8662231817649676,3,AI
4ef949bbb0,1,0.15966328456291812,3,QI
5bc4cd442a,1,0.027375626788644022,3,QI
0bfd68f777,0,0,2,C
0bfd68f777,0,0,3,C
0bfd68f777,0,0,3,C
